p20,variable,type,value,filename,iso3,survey_year
TRUE,mortality,statistic,,alhr50dt,ALB,1981
TRUE,mortality,numerator,,alhr50dt,ALB,1981
TRUE,mortality,denominator,,alhr50dt,ALB,1981
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,1981
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,1981
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,1981
TRUE,stunting,statistic,,alhr50dt,ALB,1981
TRUE,stunting,numerator,,alhr50dt,ALB,1981
TRUE,stunting,denominator,,alhr50dt,ALB,1981
FALSE,stunting,statistic,0,alhr50dt,ALB,1981
FALSE,stunting,numerator,0,alhr50dt,ALB,1981
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,1981
TRUE,registration,statistic,,alhr50dt,ALB,1981
TRUE,registration,numerator,,alhr50dt,ALB,1981
TRUE,registration,denominator,,alhr50dt,ALB,1981
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,1981
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,1981
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,1981
TRUE,electricity,statistic,,alhr50dt,ALB,1981
TRUE,electricity,numerator,,alhr50dt,ALB,1981
TRUE,electricity,denominator,,alhr50dt,ALB,1981
FALSE,electricity,statistic,1,alhr50dt,ALB,1981
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,1981
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,1981
TRUE,mar,statistic,,alhr50dt,ALB,1981
TRUE,mar,numerator,,alhr50dt,ALB,1981
TRUE,mar,denominator,,alhr50dt,ALB,1981
FALSE,mar,statistic,,alhr50dt,ALB,1981
FALSE,mar,numerator,,alhr50dt,ALB,1981
FALSE,mar,denominator,,alhr50dt,ALB,1981
TRUE,education,statistic,,alhr50dt,ALB,1981
TRUE,education,numerator,,alhr50dt,ALB,1981
TRUE,education,denominator,,alhr50dt,ALB,1981
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,1981
FALSE,education,numerator,6720.822671,alhr50dt,ALB,1981
FALSE,education,denominator,30731.15445,alhr50dt,ALB,1981
TRUE,mortality,statistic,,alhr50dt,ALB,1984
TRUE,mortality,numerator,,alhr50dt,ALB,1984
TRUE,mortality,denominator,,alhr50dt,ALB,1984
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,1984
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,1984
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,1984
TRUE,stunting,statistic,,alhr50dt,ALB,1984
TRUE,stunting,numerator,,alhr50dt,ALB,1984
TRUE,stunting,denominator,,alhr50dt,ALB,1984
FALSE,stunting,statistic,0,alhr50dt,ALB,1984
FALSE,stunting,numerator,0,alhr50dt,ALB,1984
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,1984
TRUE,registration,statistic,,alhr50dt,ALB,1984
TRUE,registration,numerator,,alhr50dt,ALB,1984
TRUE,registration,denominator,,alhr50dt,ALB,1984
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,1984
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,1984
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,1984
TRUE,electricity,statistic,,alhr50dt,ALB,1984
TRUE,electricity,numerator,,alhr50dt,ALB,1984
TRUE,electricity,denominator,,alhr50dt,ALB,1984
FALSE,electricity,statistic,1,alhr50dt,ALB,1984
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,1984
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,1984
TRUE,mar,statistic,,alhr50dt,ALB,1984
TRUE,mar,numerator,,alhr50dt,ALB,1984
TRUE,mar,denominator,,alhr50dt,ALB,1984
FALSE,mar,statistic,,alhr50dt,ALB,1984
FALSE,mar,numerator,,alhr50dt,ALB,1984
FALSE,mar,denominator,,alhr50dt,ALB,1984
TRUE,education,statistic,,alhr50dt,ALB,1984
TRUE,education,numerator,,alhr50dt,ALB,1984
TRUE,education,denominator,,alhr50dt,ALB,1984
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,1984
FALSE,education,numerator,6720.822671,alhr50dt,ALB,1984
FALSE,education,denominator,30731.15445,alhr50dt,ALB,1984
TRUE,mortality,statistic,,alhr50dt,ALB,1987
TRUE,mortality,numerator,,alhr50dt,ALB,1987
TRUE,mortality,denominator,,alhr50dt,ALB,1987
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,1987
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,1987
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,1987
TRUE,stunting,statistic,,alhr50dt,ALB,1987
TRUE,stunting,numerator,,alhr50dt,ALB,1987
TRUE,stunting,denominator,,alhr50dt,ALB,1987
FALSE,stunting,statistic,0,alhr50dt,ALB,1987
FALSE,stunting,numerator,0,alhr50dt,ALB,1987
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,1987
TRUE,registration,statistic,,alhr50dt,ALB,1987
TRUE,registration,numerator,,alhr50dt,ALB,1987
TRUE,registration,denominator,,alhr50dt,ALB,1987
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,1987
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,1987
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,1987
TRUE,electricity,statistic,,alhr50dt,ALB,1987
TRUE,electricity,numerator,,alhr50dt,ALB,1987
TRUE,electricity,denominator,,alhr50dt,ALB,1987
FALSE,electricity,statistic,1,alhr50dt,ALB,1987
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,1987
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,1987
TRUE,mar,statistic,,alhr50dt,ALB,1987
TRUE,mar,numerator,,alhr50dt,ALB,1987
TRUE,mar,denominator,,alhr50dt,ALB,1987
FALSE,mar,statistic,,alhr50dt,ALB,1987
FALSE,mar,numerator,,alhr50dt,ALB,1987
FALSE,mar,denominator,,alhr50dt,ALB,1987
TRUE,education,statistic,,alhr50dt,ALB,1987
TRUE,education,numerator,,alhr50dt,ALB,1987
TRUE,education,denominator,,alhr50dt,ALB,1987
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,1987
FALSE,education,numerator,6720.822671,alhr50dt,ALB,1987
FALSE,education,denominator,30731.15445,alhr50dt,ALB,1987
TRUE,mortality,statistic,,alhr50dt,ALB,1990
TRUE,mortality,numerator,,alhr50dt,ALB,1990
TRUE,mortality,denominator,,alhr50dt,ALB,1990
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,1990
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,1990
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,1990
TRUE,stunting,statistic,,alhr50dt,ALB,1990
TRUE,stunting,numerator,,alhr50dt,ALB,1990
TRUE,stunting,denominator,,alhr50dt,ALB,1990
FALSE,stunting,statistic,0,alhr50dt,ALB,1990
FALSE,stunting,numerator,0,alhr50dt,ALB,1990
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,1990
TRUE,registration,statistic,,alhr50dt,ALB,1990
TRUE,registration,numerator,,alhr50dt,ALB,1990
TRUE,registration,denominator,,alhr50dt,ALB,1990
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,1990
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,1990
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,1990
TRUE,electricity,statistic,,alhr50dt,ALB,1990
TRUE,electricity,numerator,,alhr50dt,ALB,1990
TRUE,electricity,denominator,,alhr50dt,ALB,1990
FALSE,electricity,statistic,1,alhr50dt,ALB,1990
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,1990
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,1990
TRUE,mar,statistic,,alhr50dt,ALB,1990
TRUE,mar,numerator,,alhr50dt,ALB,1990
TRUE,mar,denominator,,alhr50dt,ALB,1990
FALSE,mar,statistic,,alhr50dt,ALB,1990
FALSE,mar,numerator,,alhr50dt,ALB,1990
FALSE,mar,denominator,,alhr50dt,ALB,1990
TRUE,education,statistic,,alhr50dt,ALB,1990
TRUE,education,numerator,,alhr50dt,ALB,1990
TRUE,education,denominator,,alhr50dt,ALB,1990
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,1990
FALSE,education,numerator,6720.822671,alhr50dt,ALB,1990
FALSE,education,denominator,30731.15445,alhr50dt,ALB,1990
TRUE,mortality,statistic,,alhr50dt,ALB,1993
TRUE,mortality,numerator,,alhr50dt,ALB,1993
TRUE,mortality,denominator,,alhr50dt,ALB,1993
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,1993
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,1993
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,1993
TRUE,stunting,statistic,,alhr50dt,ALB,1993
TRUE,stunting,numerator,,alhr50dt,ALB,1993
TRUE,stunting,denominator,,alhr50dt,ALB,1993
FALSE,stunting,statistic,0,alhr50dt,ALB,1993
FALSE,stunting,numerator,0,alhr50dt,ALB,1993
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,1993
TRUE,registration,statistic,,alhr50dt,ALB,1993
TRUE,registration,numerator,,alhr50dt,ALB,1993
TRUE,registration,denominator,,alhr50dt,ALB,1993
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,1993
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,1993
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,1993
TRUE,electricity,statistic,,alhr50dt,ALB,1993
TRUE,electricity,numerator,,alhr50dt,ALB,1993
TRUE,electricity,denominator,,alhr50dt,ALB,1993
FALSE,electricity,statistic,1,alhr50dt,ALB,1993
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,1993
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,1993
TRUE,mar,statistic,,alhr50dt,ALB,1993
TRUE,mar,numerator,,alhr50dt,ALB,1993
TRUE,mar,denominator,,alhr50dt,ALB,1993
FALSE,mar,statistic,,alhr50dt,ALB,1993
FALSE,mar,numerator,,alhr50dt,ALB,1993
FALSE,mar,denominator,,alhr50dt,ALB,1993
TRUE,education,statistic,,alhr50dt,ALB,1993
TRUE,education,numerator,,alhr50dt,ALB,1993
TRUE,education,denominator,,alhr50dt,ALB,1993
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,1993
FALSE,education,numerator,6720.822671,alhr50dt,ALB,1993
FALSE,education,denominator,30731.15445,alhr50dt,ALB,1993
TRUE,mortality,statistic,,alhr50dt,ALB,1996
TRUE,mortality,numerator,,alhr50dt,ALB,1996
TRUE,mortality,denominator,,alhr50dt,ALB,1996
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,1996
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,1996
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,1996
TRUE,stunting,statistic,,alhr50dt,ALB,1996
TRUE,stunting,numerator,,alhr50dt,ALB,1996
TRUE,stunting,denominator,,alhr50dt,ALB,1996
FALSE,stunting,statistic,0,alhr50dt,ALB,1996
FALSE,stunting,numerator,0,alhr50dt,ALB,1996
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,1996
TRUE,registration,statistic,,alhr50dt,ALB,1996
TRUE,registration,numerator,,alhr50dt,ALB,1996
TRUE,registration,denominator,,alhr50dt,ALB,1996
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,1996
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,1996
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,1996
TRUE,electricity,statistic,,alhr50dt,ALB,1996
TRUE,electricity,numerator,,alhr50dt,ALB,1996
TRUE,electricity,denominator,,alhr50dt,ALB,1996
FALSE,electricity,statistic,1,alhr50dt,ALB,1996
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,1996
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,1996
TRUE,mar,statistic,,alhr50dt,ALB,1996
TRUE,mar,numerator,,alhr50dt,ALB,1996
TRUE,mar,denominator,,alhr50dt,ALB,1996
FALSE,mar,statistic,,alhr50dt,ALB,1996
FALSE,mar,numerator,,alhr50dt,ALB,1996
FALSE,mar,denominator,,alhr50dt,ALB,1996
TRUE,education,statistic,,alhr50dt,ALB,1996
TRUE,education,numerator,,alhr50dt,ALB,1996
TRUE,education,denominator,,alhr50dt,ALB,1996
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,1996
FALSE,education,numerator,6720.822671,alhr50dt,ALB,1996
FALSE,education,denominator,30731.15445,alhr50dt,ALB,1996
TRUE,mortality,statistic,,alhr50dt,ALB,1999
TRUE,mortality,numerator,,alhr50dt,ALB,1999
TRUE,mortality,denominator,,alhr50dt,ALB,1999
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,1999
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,1999
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,1999
TRUE,stunting,statistic,,alhr50dt,ALB,1999
TRUE,stunting,numerator,,alhr50dt,ALB,1999
TRUE,stunting,denominator,,alhr50dt,ALB,1999
FALSE,stunting,statistic,0,alhr50dt,ALB,1999
FALSE,stunting,numerator,0,alhr50dt,ALB,1999
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,1999
TRUE,registration,statistic,,alhr50dt,ALB,1999
TRUE,registration,numerator,,alhr50dt,ALB,1999
TRUE,registration,denominator,,alhr50dt,ALB,1999
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,1999
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,1999
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,1999
TRUE,electricity,statistic,,alhr50dt,ALB,1999
TRUE,electricity,numerator,,alhr50dt,ALB,1999
TRUE,electricity,denominator,,alhr50dt,ALB,1999
FALSE,electricity,statistic,1,alhr50dt,ALB,1999
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,1999
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,1999
TRUE,mar,statistic,,alhr50dt,ALB,1999
TRUE,mar,numerator,,alhr50dt,ALB,1999
TRUE,mar,denominator,,alhr50dt,ALB,1999
FALSE,mar,statistic,,alhr50dt,ALB,1999
FALSE,mar,numerator,,alhr50dt,ALB,1999
FALSE,mar,denominator,,alhr50dt,ALB,1999
TRUE,education,statistic,,alhr50dt,ALB,1999
TRUE,education,numerator,,alhr50dt,ALB,1999
TRUE,education,denominator,,alhr50dt,ALB,1999
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,1999
FALSE,education,numerator,6720.822671,alhr50dt,ALB,1999
FALSE,education,denominator,30731.15445,alhr50dt,ALB,1999
TRUE,mortality,statistic,,alhr50dt,ALB,2002
TRUE,mortality,numerator,,alhr50dt,ALB,2002
TRUE,mortality,denominator,,alhr50dt,ALB,2002
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,2002
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,2002
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,2002
TRUE,stunting,statistic,,alhr50dt,ALB,2002
TRUE,stunting,numerator,,alhr50dt,ALB,2002
TRUE,stunting,denominator,,alhr50dt,ALB,2002
FALSE,stunting,statistic,0,alhr50dt,ALB,2002
FALSE,stunting,numerator,0,alhr50dt,ALB,2002
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,2002
TRUE,registration,statistic,,alhr50dt,ALB,2002
TRUE,registration,numerator,,alhr50dt,ALB,2002
TRUE,registration,denominator,,alhr50dt,ALB,2002
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,2002
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,2002
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,2002
TRUE,electricity,statistic,,alhr50dt,ALB,2002
TRUE,electricity,numerator,,alhr50dt,ALB,2002
TRUE,electricity,denominator,,alhr50dt,ALB,2002
FALSE,electricity,statistic,1,alhr50dt,ALB,2002
FALSE,electricity,numerator,30741.83043,alhr50dt,ALB,2002
FALSE,electricity,denominator,30741.83043,alhr50dt,ALB,2002
TRUE,mar,statistic,,alhr50dt,ALB,2002
TRUE,mar,numerator,,alhr50dt,ALB,2002
TRUE,mar,denominator,,alhr50dt,ALB,2002
FALSE,mar,statistic,,alhr50dt,ALB,2002
FALSE,mar,numerator,,alhr50dt,ALB,2002
FALSE,mar,denominator,,alhr50dt,ALB,2002
TRUE,education,statistic,,alhr50dt,ALB,2002
TRUE,education,numerator,,alhr50dt,ALB,2002
TRUE,education,denominator,,alhr50dt,ALB,2002
FALSE,education,statistic,0.218697370511572,alhr50dt,ALB,2002
FALSE,education,numerator,6720.822671,alhr50dt,ALB,2002
FALSE,education,denominator,30731.15445,alhr50dt,ALB,2002
TRUE,mortality,statistic,,alhr50dt,ALB,2005
TRUE,mortality,numerator,,alhr50dt,ALB,2005
TRUE,mortality,denominator,,alhr50dt,ALB,2005
FALSE,mortality,statistic,0.0258356802689437,alhr50dt,ALB,2005
FALSE,mortality,numerator,140.677258,alhr50dt,ALB,2005
FALSE,mortality,denominator,5445.076597,alhr50dt,ALB,2005
TRUE,stunting,statistic,,alhr50dt,ALB,2005
TRUE,stunting,numerator,,alhr50dt,ALB,2005
TRUE,stunting,denominator,,alhr50dt,ALB,2005
FALSE,stunting,statistic,0,alhr50dt,ALB,2005
FALSE,stunting,numerator,0,alhr50dt,ALB,2005
FALSE,stunting,denominator,1309.511042,alhr50dt,ALB,2005
TRUE,registration,statistic,,alhr50dt,ALB,2005
TRUE,registration,numerator,,alhr50dt,ALB,2005
TRUE,registration,denominator,,alhr50dt,ALB,2005
FALSE,registration,statistic,0.986640310884829,alhr50dt,ALB,2005
FALSE,registration,numerator,1591.435494,alhr50dt,ALB,2005
FALSE,registration,denominator,1612.984465,alhr50dt,ALB,2005
TRUE,electricity,statistic,,alhr50dt,ALB,2005
