region,iso3,survey_year,variable.x,denominator.x,numerator.x,birth.registration,variable.y,denominator.y,numerator.y,U5M,variable,denominator,numerator,education
ABIM,UGA,2016,registration,42.223512,19.340278,0.458045223713271,mortality,91.655406,5.61143,0.0612231208707973,education,82.948576,13.293929,0.160267115375193
ADJUMANI,UGA,2016,registration,131.283011,6.179549,0.0470704392969781,mortality,237.146832,10.3280355,0.0435512269461816,education,238.561104,26.657542,0.111743035863885
AGAGO,UGA,2016,registration,163.050907,62.754242,0.384875148225946,mortality,382.0532955,27.316402,0.0714989304417608,education,284.893143,11.331301,0.039773863563996
ALEBTONG,UGA,2016,registration,81.56437,45.724804,0.56059777081586,mortality,182.540609,12.424067,0.0680619346460053,education,180.093397,10.033959,0.055715307541231
AMOLATAR,UGA,2016,registration,54.012182,18.204228,0.337039299763894,mortality,129.499412,5.012264,0.0387049170539863,education,114.570736,4.168024,0.0363794817552713
AMUDAT,UGA,2016,registration,32.196364,15.813787,0.49116685971124,mortality,66.581902,4.8615015,0.0730153593389387,education,50.542607,0.462137,0.00914351331343079
AMURIA,UGA,2016,registration,169.201099,66.053514,0.390384662927042,mortality,354.5361595,23.151174,0.0652998950308762,education,323.657219,26.252554,0.0811122152044444
AMURU,UGA,2016,registration,73.11145,25.836216,0.353381255603603,mortality,165.932003,10.8715755,0.0655182562944172,education,134.077062,6.054268,0.0451551362305358
APAC,UGA,2016,registration,143.12369,60.199531,0.420611926648901,mortality,334.039791,29.8713995,0.0894246742598399,education,327.717699,23.793047,0.0726022643043152
ARUA,UGA,2016,registration,318.68623,42.718936,0.134047009185179,mortality,719.9683635,57.51323,0.0798829961366768,education,691.962067,87.008149,0.125741212054042
Achham,NPL,2017,registration,48.296999,13.504262,0.279608718545846,mortality,144.218174,8.095524,0.0561338683985834,education,178.174591,18.754139,0.10525709022113
Arghakhanchi,NPL,2017,registration,60.439515,34.209931,0.566019283907225,mortality,131.581476,3.6584655,0.0278038034776263,education,227.081237,28.18774,0.124130643167141
