iso3,male.u5.birth.registration,female.u5.birth.registration,total.u5.birth.registration,survey_year,region
AGO,,,,2007,Sub-Saharan Africa
AGO,,,,2011,Sub-Saharan Africa
AGO,0.460685494698495,0.458757341629963,0.45971397489966,2016,Sub-Saharan Africa
BEN,,,,1996,Sub-Saharan Africa
BEN,,,,2001,Sub-Saharan Africa
BEN,0.536146182338183,0.524610800658117,0.530407739325984,2006,Sub-Saharan Africa
BEN,0.806399364855757,0.796304582936021,0.801469081660248,2012,Sub-Saharan Africa
BEN,0.853573399644289,0.857111931054338,0.855321797083058,2018,Sub-Saharan Africa
BFA,,,,1993,Sub-Saharan Africa
BFA,,,,1999,Sub-Saharan Africa
BFA,,,,2003,Sub-Saharan Africa
BFA,0.769379023757872,0.766996024938152,0.768203242877937,2011,Sub-Saharan Africa
BFA,,,,2014,Sub-Saharan Africa
BDI,,,,2013,Sub-Saharan Africa
BDI,0.888369314991545,0.887140636734187,0.887732658405295,2017,Sub-Saharan Africa
CMR,,,,1991,Sub-Saharan Africa
CMR,,,,1998,Sub-Saharan Africa
CMR,,,,2004,Sub-Saharan Africa
CMR,0.654602018469475,0.636701120729329,0.645535018763094,2011,Sub-Saharan Africa
CAF,,,,1995,Sub-Saharan Africa
TCD,,,,1997,Sub-Saharan Africa
TCD,,,,2005,Sub-Saharan Africa
TCD,0.124314874360607,0.123169941203401,0.123749090769863,2015,Sub-Saharan Africa
COM,,,,1996,Sub-Saharan Africa
COM,0.870251427453575,0.866888659331185,0.868601279848133,2012,Sub-Saharan Africa
COD,0.247489902137611,0.252396205453556,0.249963102151796,2014,Sub-Saharan Africa
CIV,,,,1994,Sub-Saharan Africa
CIV,,,,1999,Sub-Saharan Africa
CIV,0.776554217583545,0.756766059317167,0.766712394625275,2012,Sub-Saharan Africa
EGY,,,,1996,Middle East & North Africa
EGY,,,,2000,Middle East & North Africa
EGY,,,,2008,Middle East & North Africa
EGY,0.9951886773308,0.992742181848097,0.994026335027182,2014,Middle East & North Africa
ETH,,,,2000,Sub-Saharan Africa
ETH,,,,2005,Sub-Saharan Africa
ETH,,,,2011,Sub-Saharan Africa
ETH,0.0267236092859673,0.0272363973622607,0.0269740243432521,2016,Sub-Saharan Africa
GAB,,,,2001,Sub-Saharan Africa
GAB,0.907195106235751,0.877636358275803,0.892764913559288,2012,Sub-Saharan Africa
GMB,0.746992117091713,0.727573326787794,0.737370456939743,2013,Sub-Saharan Africa
GHA,,,,1994,Sub-Saharan Africa
GHA,,,,1999,Sub-Saharan Africa
GHA,,,,2003,Sub-Saharan Africa
GHA,0.723154147275057,0.703285382463931,0.713413452447263,2008,Sub-Saharan Africa
GHA,0.709630344625805,0.703212794981543,0.706578313925938,2014,Sub-Saharan Africa
